1. 	aist_2012_c6bc0383ea448fcb7e5f45ac85a1afb2d12505ef	ru	http://legacy.aistconf.org/stuff/aist2012.pdf
3	dialogue_2010_89654a6e174bee3159dfb0992fc50386d87840a1	ru	0.9862419366836548	http://www.dialog-21.ru/media/1653/28.pdf
4	dialogue_2004_08d57079c66a8467123fd3e0e6d42dcdbea14125	ru	0.9850177764892578	http://www.dialog-21.ru/media/2504/efimova.pdf
5	dialogue_2008_c69bd78a65834f8e697945f4fa81e759a979d8a0	ru	0.9845223426818848	http://www.dialog-21.ru/media/1736/15.pdf
6	dialogue_2005_bcc73955169fcb7f1faa92fadf2b3dff77012aeb	ru	0.9834377765655518	http://www.dialog-21.ru/media/2444/zelenkov_segalovich.pdf
7	dialogue_2009_96fe9e297f9ba870b07148f0377038e8583381ab	ru	0.9830007553100586	http://www.dialog-21.ru/media/1617/67.pdf
8	aist_2013_8200539f3cfa7e9b595193f42fd9b49b4f57864d	ru	0.9823765754699707	https://publications.hse.ru/chapters/102449956
9	dialogue_2006_4e4d74ae8124c5e7f5dcc51dfd96c61b10418ff3	ru	0.9822075366973877	http://www.dialog-21.ru/media/2008/tolpegin.pdf
10	dialogue_2014_4b34b3336acca7eb1ed41cb62bf8908b2bac33f5	ru	0.982204258441925	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/ToldovaSJu.pdf

11. 	dialogue_2003_b42261987b561abd566100c046ad51dd958702a6	ru	http://www.dialog-21.ru/media/2678/percov.pdf
1	dialogue_2000_f911271f58e2817b4e2eb3289bcb5f1153c64d03	ru	0.9872885942459106	http://www.dialog-21.ru/digest/2000/articles/krylov/
2	dialogue_2009_c0ed689f47986bb006197674999244bed4e311b8	ru	0.9823048114776611	http://www.dialog-21.ru/media/1607/57.pdf
3	dialogue_2007_ed67c940fe22dc3e82e4e5694785bd4a244e0f14	ru	0.9822019338607788	http://www.dialog-21.ru/media/1859/38.pdf
4	dialogue_2006_efac0ef41b692b6dfb2e8d9a4fa6d420c332e2db	ru	0.982013463973999	http://www.dialog-21.ru/media/1993/pazelskaya.pdf
5	dialogue_2010_9e64e5d6f4950200924caf0f8a9cc765b35a425c	ru	0.9816925525665283	http://www.dialog-21.ru/media/1704/79.pdf
6	dialogue_2003_4ddc11f641bce06a1bc814b8349fe341ac37c361	ru	0.9816914200782776	http://www.dialog-21.ru/media/2654/krongauz.pdf
7	dialogue_2004_4c05fde1a895912e844e663e608f5398e2b9c5b6	ru	0.9814314842224121	http://www.dialog-21.ru/media/2509/gankin.pdf
8	dialogue_2007_88acfa8bc1f74656a089ea6946195e0cd56f516a	ru	0.9814102649688721	http://www.dialog-21.ru/media/1889/68.pdf
9	dialogue_2006_3ae7aa2ebf6641e8a3e1ea68d3b1a6a15f1e1ab2	ru	0.9812665581703186	http://www.dialog-21.ru/media/1952/grudeva.pdf
10	dialogue_2000_14962741f3da1c4341632c7b13906b149d7b20f8	ru	0.9810705184936523	http://www.dialog-21.ru/digest/2000/articles/pertsov/

12. 	dialogue_2019_4a5c4385216b2220faf8860da8101e1c3744c9ca	ru	http://www.dialog-21.ru/media/4582/apresjanvju-066.pdf
1	dialogue_2019_c7586d366e9190922eff6a7a00c78406d3229232	ru	0.9889253377914429	http://www.dialog-21.ru/media/4616/mikaelianilpluszalizniakannaa-053.pdf
2	dialogue_2019_3824adc497a9eb6d964638500081edef76c643f2	ru	0.9886889457702637	http://www.dialog-21.ru/media/4583/apresjanvjuplusorlovav-012.pdf
3	dialogue_2017_43e41133d6f8ff3438d9418ecc0c4edda43ab1d6	ru	0.9863882064819336	http://www.dialog-21.ru/media/3896/apresjanvju.pdf
4	dialogue_2018_c8e13efcc7fcc866f619d3f5f6d3cbedff02126d	ru	0.9863666892051697	http://www.dialog-21.ru/media/4337/tiskindb.pdf
5	dialogue_2002_d1de430cf94bc088d7d83ee8b3c21b3fc5892315	ru	0.9862501621246338	http://www.dialog-21.ru/digest/2002/articles/iomdinl/
6	dialogue_2018_f135781f32c4be9967d735ab618edc39f129f58f	ru	0.9860730171203613	http://www.dialog-21.ru/media/4323/paduchevaev.pdf
7	dialogue_2015_bc80b684c8eb71dd999dab8eb458c0efb4ab531e	ru	0.9858275651931763	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/ZalizniakAnnaA.pdf
8	dialogue_2019_c0d48d7b8d531ddd59c5f5d953b0957c9fab35b3	ru	0.9858221411705017	http://www.dialog-21.ru/media/4634/tiskindb-065.pdf
9	dialogue_2019_6950c7c7ff7613ae643005c50f4caa7ae5fbdbee	ru	0.9857708811759949	http://www.dialog-21.ru/media/4611/levontinaibpluspolinskyms-029.pdf
10	dialogue_2007_03d9264769dfb3c5f1f9ab501e4823127b646cfc	ru	0.985745906829834	http://www.dialog-21.ru/media/1914/93.pdf

13. 	dialogue_2006_b8c6726eb307e468087cc332646b274ed4c821bc	ru	http://www.dialog-21.ru/media/1954/iomdinb.pdf
1	dialogue_2013_9dbe16ce07df4823e232657f0c2b12df14673302	ru	0.9910187721252441	http://www.dialog-21.ru/media/1274/paduchevaev.pdf
2	dialogue_2017_093856064e8b96038bbdbb6c563857b1fc90d8eb	ru	0.9905596971511841	http://www.dialog-21.ru/media/3941/rakhilinaev.pdf
3	dialogue_2010_4e4dd4872db304cd22cbf5e6c284a9d747c419c9	ru	0.9898499250411987	http://www.dialog-21.ru/media/1669/44.pdf
4	dialogue_2008_33f8132d7279f34984acd7ce373830bfdea6599f	ru	0.9896414279937744	http://www.dialog-21.ru/media/1745/24.pdf
5	dialogue_2010_c252069136aa7bb3b8769e50b37854e9229df599	ru	0.9895898699760437	http://www.dialog-21.ru/media/1490/15.pdf
6	dialogue_2013_90652d3dc7ee2460249aec7ae716b3acdb839a41	ru	0.988934338092804	http://www.dialog-21.ru/media/1271/mikheevmju.pdf
7	dialogue_2013_e6c52c7d663c96991a5741dcd4a8bf55d9566332	ru	0.9888012409210205	http://www.dialog-21.ru/media/1228/bogdanova-beglariannv.pdf
8	dialogue_2015_e6a94582e78f7b3f4d14ef1be140f117771ed639	ru	0.9887722730636597	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/KrylovaTV.pdf
9	dialogue_2012_68cc91137e1b4d8adc600c866579d191282ae807	ru	0.988623857498169	http://www.dialog-21.ru/media/1324/156.pdf
10	dialogue_2005_e6fb7c24e29147b72020dc48ed18346700d7d6b4	ru	0.9885257482528687	http://www.dialog-21.ru/media/2439/zalizniak_mikaelian.pdf

14. 	dialogue_2006_500e96450545e5b1778ee12e7e83dd23945ace7c	ru	http://www.dialog-21.ru/media/1996/podlesskaya.pdf
1	dialogue_2013_60a42db6b8cc0c523f57938607f88b0398e153c3	ru	0.9893731474876404	http://www.dialog-21.ru/media/1281/podlesskayavi.pdf
2	dialogue_2019_6950c7c7ff7613ae643005c50f4caa7ae5fbdbee	ru	0.9886494874954224	http://www.dialog-21.ru/media/4611/levontinaibpluspolinskyms-029.pdf
3	dialogue_2006_6ad16d2ada5861652fdddd84bceb41f65a248e21	ru	0.9859095811843872	http://www.dialog-21.ru/media/2010/tsukanova.pdf
4	dialogue_2002_eb972d964119b90202db5239a38c08c5ba590839	ru	0.9855010509490967	http://www.dialog-21.ru/digest/2002/articles/epifantseva/
5	dialogue_2010_f88783641be7a02234e49ac66bf46b3220ecc034	ru	0.9853649139404297	http://www.dialog-21.ru/media/1683/58.pdf
6	dialogue_2000_3352dbdabf12fd3abe650ab78a69d3b33550a8f6	ru	0.9851410388946533	http://www.dialog-21.ru/digest/2000/articles/kalinina/
7	dialogue_2009_50e95e7642fefb81ddfdc54666dab77d111743f5	ru	0.9851318597793579	http://www.dialog-21.ru/media/1610/60.pdf
8	dialogue_2019_c7586d366e9190922eff6a7a00c78406d3229232	ru	0.9849493503570557	http://www.dialog-21.ru/media/4616/mikaelianilpluszalizniakannaa-053.pdf
9	dialogue_2009_0b78e9bd4c7803f6b6822cc70e213e362d9d2dc9	ru	0.984828770160675	http://www.dialog-21.ru/media/1631/81.pdf
10	dialogue_2018_d0848c578a65c48a5eb2c4c7cc5bf86bd8e20c20	ru	0.9846976399421692	http://www.dialog-21.ru/media/4295/egorovama.pdf

15. 	dialogue_2006_0b84d340edc8c21225ced251746f5013078b5df3	ru	http://www.dialog-21.ru/media/1929/belikov.pdf
1	dialogue_2008_92dc674e50f5feacea9e19b58409a4d06a687146	ru	0.9923040270805359	http://www.dialog-21.ru/media/1728/7.pdf
2	dialogue_2009_af411bd52e2f3cf5f1e024262af7e10ce3efab08	ru	0.9908803701400757	http://www.dialog-21.ru/media/1555/05.pdf
3	dialogue_2003_5ac1f824bcdd4df25aeaf5cda8bd1bef09b9c5bc	ru	0.9908140301704407	http://www.dialog-21.ru/media/2685/semenova.pdf
4	dialogue_2005_70bf5d9dc5224e5f078532a9261474b731e96b05	ru	0.990078330039978	http://www.dialog-21.ru/media/2354/belikov-v.pdf
5	dialogue_2012_fcfbb30f92ce6f0b2e3889ded9b03512309ae0b9	ru	0.9900367259979248	http://www.dialog-21.ru/media/1357/3.pdf
6	dialogue_2016_70cc4173f4c190e0ad3d7190a5cc5b4fbb2da178	ru	0.9897024631500244	http://www.dialog-21.ru/media/3423/sharonovia.pdf
7	dialogue_2008_1a8f4e0fad2e4388b2aa60abb8a455f8fbd3a6d2	ru	0.9886001348495483	http://www.dialog-21.ru/media/1725/4.pdf
8	dialogue_2012_36e3f88fcda4efaf19b0204705218673fbb7d2cc	ru	0.9877515435218811	http://www.dialog-21.ru/media/1374/131.pdf
9	dialogue_2012_5c971351607a8c9d3467cd3fce4330e4e3568527	ru	0.987629771232605	http://www.dialog-21.ru/media/1317/2.pdf
10	dialogue_2010_bac342fbc105ac93542a4384306ec0a1c5ee7b46	ru	0.9875358939170837	http://www.dialog-21.ru/media/1677/52.pdf

16. 	dialogue_2006_616c78c53b3b322a4eea4418d1d10d9d1508cf12	ru	http://www.dialog-21.ru/media/2024/zaliznyak2.pdf
1	dialogue_2013_9dbe16ce07df4823e232657f0c2b12df14673302	ru	0.9878144264221191	http://www.dialog-21.ru/media/1274/paduchevaev.pdf
2	dialogue_2017_093856064e8b96038bbdbb6c563857b1fc90d8eb	ru	0.9875377416610718	http://www.dialog-21.ru/media/3941/rakhilinaev.pdf
3	dialogue_2008_33f8132d7279f34984acd7ce373830bfdea6599f	ru	0.9873373508453369	http://www.dialog-21.ru/media/1745/24.pdf
4	dialogue_2005_e6fb7c24e29147b72020dc48ed18346700d7d6b4	ru	0.9868217706680298	http://www.dialog-21.ru/media/2439/zalizniak_mikaelian.pdf
5	dialogue_2010_4e4dd4872db304cd22cbf5e6c284a9d747c419c9	ru	0.9857708811759949	http://www.dialog-21.ru/media/1669/44.pdf
6	dialogue_2005_112ecc58cd74cdb2f2a546560c7b5f7f0bb42402	ru	0.9852776527404785	http://www.dialog-21.ru/media/2349/apresjan.pdf
7	dialogue_2011_15e70d78b8da78ab724dab2e9cfd91ecaf51145d	ru	0.9852705001831055	http://www.dialog-21.ru/media/1467/66.pdf
8	dialogue_2016_5996b01d5092eef86a386fb365dd78f11fb66c15	ru	0.9848170876502991	http://www.dialog-21.ru/media/3439/vilinbakhovael.pdf
9	dialogue_2010_c252069136aa7bb3b8769e50b37854e9229df599	ru	0.9848076105117798	http://www.dialog-21.ru/media/1490/15.pdf
10	dialogue_2008_5331a17a8a2fc99196a297547fa49deeae09f61f	ru	0.9846897721290588	http://www.dialog-21.ru/media/1784/64.pdf

17. 	dialogue_2007_8b928b108aae7fc55c38f33b2456ae5e2d6889ab	ru	http://www.dialog-21.ru/media/1854/33.pdf
1	dialogue_2008_33f8132d7279f34984acd7ce373830bfdea6599f	ru	0.9939748644828796	http://www.dialog-21.ru/media/1745/24.pdf
2	dialogue_2013_4b0ee8b52c633bc2cc9ee587756a5e3f776a8a66	ru	0.9918333292007446	http://www.dialog-21.ru/media/1254/korotaevna.pdf
3	dialogue_2001_f3f2fdb515d1d9e1a3fef4b5103484b990554998	ru	0.9918103218078613	http://www.dialog-21.ru/digest/2001/articles/uryson/
