1. 	aist_2012_c6bc0383ea448fcb7e5f45ac85a1afb2d12505ef	ru	http://legacy.aistconf.org/stuff/aist2012.pdf
2	dialogue_2004_4bcf5826b7d5003df12f07c646fa971ac7ac48f6	ru	0.9869000911712646	http://www.dialog-21.ru/media/2556/pekar.pdf
3	dialogue_2008_c69bd78a65834f8e697945f4fa81e759a979d8a0	ru	0.9850401878356934	http://www.dialog-21.ru/media/1736/15.pdf
4	dialogue_2007_51fd2c9f1a772bf1f0642e63ba7a4c1de5089931	ru	0.9845367074012756	http://www.dialog-21.ru/media/1831/10.pdf
5	dialogue_2010_89654a6e174bee3159dfb0992fc50386d87840a1	ru	0.9844480752944946	http://www.dialog-21.ru/media/1653/28.pdf
6	aist_2013_8200539f3cfa7e9b595193f42fd9b49b4f57864d	ru	0.9841684103012085	https://publications.hse.ru/chapters/102449956
7	dialogue_2011_7200c18071a8974f2f383ed885b576a5bc31bebb	ru	0.9839494228363037	http://www.dialog-21.ru/media/1438/37.pdf
8	dialogue_2001_e9a41bc663a465d65dd13aaab15955e69daf9d79	ru	0.9835840463638306	http://www.dialog-21.ru/digest/2001/articles/pekar/
9	dialogue_2004_08d57079c66a8467123fd3e0e6d42dcdbea14125	ru	0.9828521013259888	http://www.dialog-21.ru/media/2504/efimova.pdf
10	dialogue_2013_fe1cf451341a3b36971c36741e634d15d92bf608	ru	0.9827926754951477	http://www.dialog-21.ru/media/1275/panichevapv.pdf

11. 	dialogue_2003_b42261987b561abd566100c046ad51dd958702a6	ru	http://www.dialog-21.ru/media/2678/percov.pdf
1	dialogue_2004_4c05fde1a895912e844e663e608f5398e2b9c5b6	ru	0.9851359724998474	http://www.dialog-21.ru/media/2509/gankin.pdf
2	dialogue_2000_f911271f58e2817b4e2eb3289bcb5f1153c64d03	ru	0.9843685030937195	http://www.dialog-21.ru/digest/2000/articles/krylov/
3	dialogue_2017_03db8aba490a56ee79914941eb313aadb2d5ad5b	ru	0.9838638305664062	http://www.dialog-21.ru/media/3940/pozharickajaskdobrushinaer.pdf
4	dialogue_2006_3ae7aa2ebf6641e8a3e1ea68d3b1a6a15f1e1ab2	ru	0.9834751486778259	http://www.dialog-21.ru/media/1952/grudeva.pdf
5	dialogue_2001_5efd5f54c9b9189e389321b1aeddd62659fe47a8	ru	0.9831738471984863	http://www.dialog-21.ru/digest/2001/articles/leontyeva/
6	dialogue_2008_8ebae0f7a43efb5df5b6d17e8893122550b4753a	ru	0.982850193977356	http://www.dialog-21.ru/media/1764/43.pdf
